id,name,park
233346,ACKERMAN CAMPGROUND,SHASTA-TRINITY NATIONAL FOREST
233412,ACORN VALLEY,Saylorville Lake
233683,ACORN CAMPGROUND,New Hogan Lake
233487,DENT ACRES,Dworshak Reservoir
232857,Adams Fork Campground,Gifford Pinchot National Forest
233132,ADAMS RANGER STATION,Nez Perce-Clearwater National Forests
234297,ADELAIDE CAMPGROUND,Fishlake National Forest
233321,Adirondack Shelters,Catoctin Mountain Park
234245,GOOSEBERRY ADMIN SITE CABINS,Fishlake National Forest
232928,ADMIRALTY COVE CABIN,Tongass National Forest
231956,AGNEW MEADOWS GROUP CAMP,Inyo National Forest
232398,AGNEW HORSE CAMP,Inyo National Forest
234700,Agua Piedra Campground,Carson National Forest
232110,TE-AH,Dixie National Forest
232511,AIRPORT PARK,Waco Lake
234560,AIRPORT BEACH SHELTER,Waco Lake
255281,Aitch Picnic Shelter,Raystown Lake
233023,FOX CREEK CABIN (AK),Chugach National Forest
233069,TWIN LAKES CABIN (AK),Tongass National Forest
234110,PORCUPINE (AK),Chugach National Forest
234721,KENNEL CREEK CABIN (AK),Tongass National Forest
234442,AKERS,Ozark National Scenic Riverways
231990,CLEAR CREEK (AL),National Forests in Alabama
232669,PICKENSVILLE CG (PICKENSVILLE AL),Tennessee-Tombigbee Waterway
232679,PRAIRIE CREEK (AL),Alabama River Lakes
250038,AL TAYLOR CABIN,Caribou-Targhee National Forest
233283,PYRAMID LAKE - LOS ALAMOS CAMPGROUND,Angeles National Forest
252494,White Mountains National Recreation Area - Alaska Cabins,White Mountains National Recreation Area
232962,ALAVA BAY CABIN,Tongass National Forest
233791,ALBENI COVE,Lake Pend Oreille
233857,ALBERT MOSER,Caribou-Targhee National Forest
232010,ALBION BASIN,Uinta-Wasatch-Cache National Forest
234502,ALDER DUNE,Siuslaw National Forest
234710,ALDER GUARD STATION,Rio Grande National Forest
273779,ALDO LEOPOLD CABIN,Carson National Forest
232924,LAKE ALEXANDER CABIN,Tongass National Forest
234032,ALEXANDER SPRINGS REC AREA,National Forests in Florida
233047,ALLAN POINT CABIN,Tongass National Forest
232665,PAYNE CAMPGROUND-ALLATOONA LAKE,Allatoona Lake
232512,ALLEY CREEK CAMP,Lake O' The Pines
234046,ALLEY SPRING,Ozark National Scenic Riverways
251577,ALLEN SPRINGS CAMPGROUND,Deschutes National Forest
267075,ALLINGHAM CAMPGROUND,Deschutes National Forest
234517,ALLRED FLATS GROUP PICNIC SITE,Bridger-Teton National Forest
232246,ALMANOR,Lassen National Forest
251575,Alosa Campsites,Delaware Water Gap National Recreation Area
10005253,(Lake Alpine) West Shore,Stanislaus National Forest
232210,ALPINE NORTH LOOP,Caribou-Targhee National Forest
232343,LAKE ALPINE - LODGEPOLE GROUP,Stanislaus National Forest
233345,ALPINE VIEW CAMPGROUND,SHASTA-TRINITY NATIONAL FOREST
233415,ALPINE RIDGE,Degray Lake
245489,(Lake Alpine) Pine Marten,Stanislaus National Forest
247867,Alpine Meadows Campground,Martis Creek Lake
273783,ALPINE RANGER STATION,Grand Mesa Uncompahgre and Gunnison National Forest
274314,(LAKE ALPINE) SILVER VALLEY CAMPGROUND,Stanislaus National Forest
274410,(LAKE ALPINE)  SILVER TIP CAMPGROUND,Stanislaus National Forest
255205,Alsea Falls Recreation Site,Mary's Peak Extensive
233093,ALSEK RIVER CABIN,Tongass National Forest
234614,ALTA CAMPGROUND,Bitterroot National Forest
231934,ALTAMONT,Uinta-Wasatch-Cache National Forest
233117,CERRO ALTO CAMPGROUND,Los Padres National Forest
251846,ALTO PIT OHV CAMPGROUND,Prescott National Forest
273842,CAMPO ALTO CAMPGROUND,Los Padres National Forest
232011,ALTURAS LAKE PICNIC AREA (ID),Sawtooth National Forest
233980,ALTURAS LAKE INLET,Sawtooth National Forest
233897,ALUM CREEK BELOW DAM AREA,Alum Creek Lake
234347,LAKE ALVA CAMPGROUND,Lolo National Forest
234105,ALVARADO CAMPGROUND,PSICC
232012,AMANITA,Boise National Forest
232935,POINT AMARGURA CABIN,Tongass National Forest
233984,AMERICAN RIDGE LODGE,Okanogan-Wenatchee National Forest
234493,AMERICAN RIVER GUARD STATION,Okanogan-Wenatchee National Forest
251884,AMERICAN FORKS CAMPGROUND,Okanogan-Wenatchee National Forest
232513,AMITY,West Point Lake
232514,AMITY RECREATION AREA,J. Strom Thurmond Lake
273818,AMOLE CANYON GROUP SHELTER,Carson National Forest
232275,AMPHITHEATER (CO),Grand Mesa Uncompahgre and Gunnison National Forest
233123,Maroon Bells Amphitheatre,White River National Forest
232502,ANACAPA ISLAND,Channel Islands National Park
233082,ANAN BAY CABIN,Tongass National Forest
233083,ANAN LAKE CABIN,Tongass National Forest
232949,ANCHOR PASS CABIN,Tongass National Forest
10005977,Anderson Road Day Use,J Percy Priest Lake
232013,ANDERSON COVE,Uinta-Wasatch-Cache National Forest
232515,ANDERSON ROAD,J Percy Priest Lake
234772,ANDERSON MEADOW CAMPGROUND,Fishlake National Forest
231865,ANGEL OF SHAVANO GROUP,PSICC
232014,ANGEL CREEK,Humboldt-Toiyabe National Forest Headquarters
232015,ANGEL LAKE,Humboldt-Toiyabe National Forest Headquarters
233735,TABLE MOUNTAIN (ANGELES),Angeles National Forest
253198,ANNA CREEK CABIN,Flathead National Forest
234512,ANSEL WATROUS,Arapaho & Roosevelt National Forests Pawnee NG
231897,ANTELOPE FLAT,Ashley National Forest
232016,ANTELOPE,Boise National Forest
232485,ANTHONY CREEK HORSE CAMP,Great Smoky Mountains National Park
233136,Anthony Lake,Wallowa Whitman National Forest
234250,ANTHONY LAKE GUARD STATION,Wallowa Whitman National Forest
252970,Antietam Creek Campsite,Chesapeake & Ohio Canal National Historical Park
232753,ANTLERS,SHASTA-TRINITY NATIONAL FOREST
234213,ANTLERS GUARD STATION CABIN,Wallowa Whitman National Forest
234318,ANTONE CABIN,Beaverhead-Deerlodge National Forest
233390,SAN ANTONIO CAMPGROUND,Santa Fe National Forest
234680,APACHE MAID CABIN,Coconino National Forest Recreation
234708,APACHE TROUT CAMPGROUND,Apache-Sitgreaves National Forest
234669,APGAR GROUP SITES,Glacier National Park
251865,Apostle Islands National Lakeshore Camping Permits,Apostle Islands National Lakeshore
233299,APPALACHIAN CLUBHOUSE,Great Smoky Mountains National Park
233186,HART-TISH PARK at APPLEGATE LAKE,Rogue River-Siskiyou National Forest
272277,JACKSON CAMPGROUND ON THE APPLEGATE RIVER,Rogue River-Siskiyou National Forest
233049,APPLETON COVE CABIN,Tongass National Forest
234572,AQUARIUS RANGER STATION,Fishlake National Forest
273757,Aquatic Park Cove San Francisco Maritime NHP,San Francisco Maritime National Historical Park
232649,NARROWS (AR),Greers Ferry Lake
232680,PRAIRIE CREEK (AR),Beaver Lake
233524,JOHN SPALDING REC AR,Mark Twain Lake
233610,RUDDS CREEK REC. AR.,John H. Kerr Dam and Reservoir
251355,COTTONSHED PARK (AR),Millwood Lake
251361,BEARD'S BLUFF PARK (AR),Millwood Lake
231860,ARAPAHO BAY,Arapaho & Roosevelt National Forests Pawnee NG
232517,AUX ARC,Ozark Lake
233400,UPPER ARCADIA,Coronado National Forest
231905,ARCH DAM CAMPGROUND,Ashley National Forest
10004589,Earl Cook Recreation Area,West Point Lake
10004596,Long Cane Recreation Area,West Point Lake
10004600,Rocky Point Recreation Area,West Point Lake
10004604,Yellowjacket Creek Recreation Area,West Point Lake
10005358,Somerfield North Recreation Area,Youghiogheny River Lake
10006149,Overlook Recreation Area,Woodcock Creek Lake
10007154,Confluence Recreation Area,Buckhorn Lake
10007179,Leatherwood Recreation Area,Buckhorn Lake
118995,PINECREST DAY USE AREA,Stanislaus National Forest
121840,BACKBONE ROCK RECREATION AREA PAVILIONS,Cherokee National Forest
121890,THE LAURELS PICNIC AREA PAVILIONS,Cherokee National Forest
121940,WATAUGA POINT RECREATION AREA,Cherokee National Forest
159090,MILL RUN RECREATION AREA,Youghiogheny River Lake
231834,Ranger Creek Recreation Area,Bighorn National Forest
231835,COOK LAKE REC AREA,Black Hills National Forest
231887,ASPEN GROUP AREA,Lincoln National Forest
231888,BLACK BEAR GROUP AREA,Lincoln National Forest
231889,UPPER FIR GROUP AREA,Lincoln National Forest
231890,SLIDE GROUP AREA,Lincoln National Forest
231892,HOLY GHOST GROUP AREA,Santa Fe National Forest
231893,JACKS CREEK GROUP AREA,Santa Fe National Forest
232006,HORSESHOE RECREATION AREA,Monongahela National Forest
232007,STUART RECREATION AREA,Monongahela National Forest
232008,BLUE BEND REC AREA,Monongahela National Forest
232062,LAKE VESUVIUS RECREATION AREA,Wayne National Forest
232076,NORTH SHORE PICNIC AREA,Sawtooth National Forest
232111,TERRACES CAMPGROUND - PICNIC AREA,Humboldt-Toiyabe National Forest Headquarters
232124,WOOD RIVER GROUP OVERNIGHT AREA (TENT ONLY),Sawtooth National Forest
232162,Trout Pond Recreation Area,George Washington & Jefferson National Forest
232163,CATHEDRAL ROCK PICNIC AREA,Humboldt-Toiyabe National Forest Headquarters
232165,FOXTAIL GRP PICNIC AREA,Humboldt-Toiyabe National Forest Headquarters
232166,KYLE CANYON PICNIC AREA DAY USE,Humboldt-Toiyabe National Forest Headquarters
232191,BENNY CREEK GROUP AREA,Apache-Sitgreaves National Forest
232244,PINE VALLEY RECREATION AREA,Dixie National Forest
232257,CRAIGS CREEK GROUP AREA,Daniel Boone National Forest
232297,JEMEZ FALLS (NM) PICNIC AREA,Santa Fe National Forest
232325,COUNCIL BLUFF RECREATION AREA,Mark Twain National Forest
232418,FLOAT CAMP PICNIC AREA,Mark Twain National Forest
232419,SUTTON BLUFF RECREATION AREA,Mark Twain National Forest
232420,PINEWOODS LAKE REC AREA,Mark Twain National Forest
232421,LANE SPRING RECREATION AREA,Mark Twain National Forest
232423,CORINTH RECREATION AREA,National Forests in Alabama
232430,DOUBLE LAKE RECREATION AREA,National Forests and Grasslands in Texas
232454,Whiskey Creek Group Picnic Area (Whiskeytown NRA),Whiskeytown National Recreation Area
232556,COOK DAY USE AREA,J Percy Priest Lake
232663,OUTLET AREA,Blue Mountain Lake
232675,PLEASANT GROVE RECREATION AREA,Dale Hollow Lake
232716,TAILWATER REC AREA,Cordell Hull Lake
232734,WARTRACE CK REC AREA,Cordell Hull Lake
232918,LOWER FIR GROUP AREA,Lincoln National Forest
233129,POMO DAY USE AREA,Mendocino Lake
233158,CHILDS GLACIER RECREATION AREA,Chugach National Forest
233199,FERN SPRINGS DAY USE PICNIC AREA,Recreation - Chattahoochee-Oconee National Forest
233224,REEF TOWNSITE GROUP AREA,Coronado National Forest
233231,SANDY BEACH PICNIC AREA,Bridger-Teton National Forest
233239,BOYKIN SPRINGS RECREATION AREA,National Forests and Grasslands in Texas
233302,PYRAMID LAKE - EMIGRANT LANDING DAY USE AREA,Angeles National Forest
233330,HOP BROOK LAKE RECREATION AREA,Hop Brook Lake
233370,SPILLWAY GROUP AREA,Rend Lake
233375,CHEWALLA LAKE RECREATION AREA,National Forests in Mississippi
233414,Codorniz Recreation Area Campground,Eastman Lake
233432,BOB SHETLER RECREATION AREA,Saylorville Lake
233433,BOULDER REC. AREA,Carlyle Lake
233437,BUSHAY RECREATION AREA,Mendocino Lake
233461,COCHITI AREA,Cochiti Lake
233463,COLES CREEK REC AREA,Carlyle Lake
233472,Cross Lake Recreation Area,Mississippi River Headwaters - Cross Lake
233477,DAM EAST REC. AREA (DAY USE),Carlyle Lake
233482,DAM WEST AREA (DAY-USE),Rend Lake
233483,DAM WEST REC. AREA (CAMP AND DAY),Carlyle Lake
233492,Dub Patton Recreation Area,Arkabutla Lake
233528,KEYESPORT REC. AREA,Carlyle Lake
233532,KYEN CAMPGROUND AND OAK GROVE DAY USE AREA,Mendocino Lake
233535,LEECH LAKE REC AREA,Mississippi River Headwaters - Leech Lake
233558,NORTH MARCUM DAY USE AREA,Rend Lake
233573,TIONESTA REC. AREA CAMPGROUND,Tionesta Lake
233594,PRAIRIE FLOWER RECREATION AREA,Saylorville Lake
233627,SHENANGO REC AREA CAMPGROUND,Shenango River Lake
233648,GULL LAKE RECREATION AREA,Mississippi River Headwaters - Gull Lake
233664,WARM SPRINGS REC AREA,Lake Sonoma
233686,EAGLE POINT RECREATION AREA,Wappapello Lake
233688,GREENVILLE RECREATION AREA,Wappapello Lake
233690,REDMAN CREEK RECREATION AREA,Wappapello Lake
233691,SPILLWAY RECREATION AREA,Wappapello Lake
233701,Chowchilla Recreation Area Day Use,Eastman Lake
233708,CHEKAKA RECREATION AREA LAKE MENDOCINO,Mendocino Lake
233780,LOTUS GROUP AREA,Carlyle Lake
233786,MCNAIR GROUP AREA,Carlyle Lake
233834,COVE LAKE RECREATION AREA,Ozark-St. Francis National Forests
233836,HETTINGER GROUP AREA,Bighorn National Forest
233838,PINE ISLAND GROUP AREA,Bighorn National Forest
233914,SHAGBARK GROUP AREA,Rend Lake
233920,SALT SPRINGS RECREATION AREA,National Forests in Florida
233931,BARKER RECREATION AREA,Dixie National Forest
233954,CAROLINA HEMLOCKS REC AREA,National Forests in North Carolina
233957,KAIBAB LAKE SITES AND GROUP AREAS,Kaibab National Forest
234004,CAGLE RECREATION AREA,National Forests and Grasslands in Texas
234031,JUNIPER SPRINGS REC AREA,National Forests in Florida
234033,CLEARWATER LAKE REC AREA,National Forests in Florida
234072,TUTTLETOWN RECREATION AREA,New Melones Lake
234073,GLORY HOLE RECREATION AREA,New Melones Lake
234090,ELM BROOK PARK REC AREA,Hopkinton-Everett Lake
234121,POWERHOUSE GROUP PICNIC AREA,Humboldt-Toiyabe National Forest Headquarters
234128,BUCK HALL RECREATION AREA,Francis Marion and Sumter National Forests
234171,LAKE CANYON REC AREA,Manti-La Sal National Forest
234209,BIRD CREEK RECREATION AREA,Humboldt-Toiyabe National Forest Headquarters
234362,RATCLIFF LAKE RECREATION AREA,National Forests and Grasslands in Texas
234371,MOONSHINE BEACH REC. AREA,Table Rock Lake
234393,LOWLAND PICNIC AREA,Beaverhead-Deerlodge National Forest
234394,SHEEPSHEAD PICNIC AREA,Beaverhead-Deerlodge National Forest
234396,FREEDOM POINT PICNIC AREA,Beaverhead-Deerlodge National Forest
234452,ASPEN GROVE GROUP USE AREA,Helena-Lewis and Clark National Forest
234463,YAAK RIVER DAY USE AREA,Kootenai National Forest
234470,PONDEROSA PICNIC AREA,Fishlake National Forest
234481,PATTEE CANYON PICNIC AREA,Lolo National Forest
234527,HOUSTON RECREATION AREA,National Forests in Alabama
234529,JACOB LAKE RECREATION AREA,Kaibab National Forest
234557,BOLAR MOUNTAIN RECREATION AREA,George Washington & Jefferson National Forest
234571,TWIN LAKES DAY USE AREA,Hartwell Lake
234576,BIG SPRINGS GRP. AREA - ISLAND PARK,Caribou-Targhee National Forest
234646,RUJADA DAY USE PICNIC AREA,Umpqua National Forest
234676,HAZELTON RECREATION AREA,Lake Oahe
234677,BEAVER CREEK RECREATION AREA,Lake Oahe
234687,LAWRENCE RECREATION AREA,Cowanesque Lake
234688,SHERANDO LAKE RECREATION AREA FAMILY CAMPING,George Washington & Jefferson National Forest
234689,SOUTH SHORE RECREATION AREA,Cowanesque Lake
234690,LAMBS CREEK RECREATION AREA,Tioga-Hammond Lakes
234694,BOB SHETLER PICNIC AREA,Saylorville Lake
234696,WALNUT RIDGE RECREATION AREA,Saylorville Lake
234697,SANDPIPER RECREATION AREA,Saylorville Lake
234698,OAK GROVE PICNIC AREA,Saylorville Lake
234699,COTTONWOOD RECREATION AREA,Saylorville Lake
234724,BUCKEYE RECREATION AREA (CO),Manti-La Sal National Forest
234754,ROCKLAND RECREATION AREA,Old Hickory Lake
249983,Stoughton Pond Rec Area,North Springfield Lake
249992,Laurel River Lake Picnic Area,Laurel River Lake
249996,CAVE POINT GROUP USE AREA,Canyon Ferry Lake
249997,WESTVILLE RECREATION AREA,Westville Lake
249999,HELLGATE CAMPGROUND AND GROUP USE SHELTER AREA,Canyon Ferry Lake
250000,OAK SHORES DAY USE AREA (CA),Lake Berryessa
250002,RIVERSIDE CAMPGROUND AND GROUP USE AREA,Canyon Ferry Lake
250005,Rock Creek Park Group Picnic Areas,Rock Creek Park
250007,Howell Run Picnic Area,Jennings Randolph Lake
250010,BLANCHARD SPRINGS RECREATION AREA,Ozark-St. Francis National Forests
250011,TOWNSHEND LAKE DAY USE AREA,Townshend Lake
250015,HAINS POINT PICNIC AREA (East Potomac Park),National Mall and Memorial Parks
250017,Fort Dupont Park Picnic Areas,Fort Dupont Park
250023,FLATWOODS GROUP PICNIC AREA,George Washington & Jefferson National Forest
250030,PHILLIP'S CREEK GROUP PICNIC AREA,George Washington & Jefferson National Forest
250031,Hyatt Lake Recreation Area,Hyatt Reservoir
251045,UNION VILLAGE DAM PICNIC AREA (VT),Union Village Dam
251120,BLUE MARSH LAKE (DRY BROOKS DAY USE AREA),Blue Marsh Lake
251545,Carderock Recreation Area Pavilion,Chesapeake & Ohio Canal National Historical Park
251564,TULLY LAKE RECREATION AREA (MA),Tully Lake
251615,BRIDAL VEIL GROUP AREA AND PICNIC GROUND,Eldorado National Forest
251624,GREENBELT PARK PICNIC AREAS,Greenbelt Park
251866,COOPER'S FURNACE DAY USE AREA (GA),Allatoona Lake
251867,RIVERSIDE PARK DAY USE AREA (GA),Allatoona Lake
251868,GALT'S FERRY DAY USE AREA (GA),Allatoona Lake
251871,SWEETWATER DAY USE AREA (GA),Allatoona Lake
251902,CRAIG CREEK RECREATION AREA,George Washington & Jefferson National Forest
251943,HEARTS CONTENT RECREATION AREA,Allegheny National Forest
251946,OUTFLOW RECREATION AREA (PA),Tionesta Lake
251959,KELLETTVILLE RECREATION AREA (PA),Tionesta Lake
254079,Tailwater West Day Use Area,Coralville Lake
254081,East Overlook Day Use Area,Coralville Lake
254085,Sugar Bottom Day Use Area,Coralville Lake
254086,Turkey Creek Day Use Area,Coralville Lake
255176,Hancock Bend Boat Launch and Recreation Area,Crooked Creek Lake
255177,WHITE ROCK MOUNTAIN RECREATION AREA,Ozark-St. Francis National Forests
255202,Damsite and Spillway Recreation Area,Crooked Creek Lake
255303,MEDICINE LAKE RECREATION AREA,Modoc National Forest
256349,Right Bank Recreation Area,Cheatham Lock and Dam
261793,W.P. FRANKLIN SOUTH RECREATION AREA,Lake Okeechobee
261812,Red Spring Picnic Area,Red Rock Canyon National Conservation Area
266144,Sand Flats Recreation Area,Sand Flats Recreation Area
267551,ROCK CREEK RECREATION AREA,Cherokee National Forest
272097,TIMBER CAMP RECREATION AREA and GROUP CAMPGROUNDS,Tonto National Forest
272174,BUSH RECREATION AREA,Loyalhanna Lake
272276,DEVIL'S ELBOW RECREATION AREA,Hauser Lake
272301,WOODRING DAY USE AREA SHELTER,Carters Lake
272302,REREG DAM DAY USE AREA SHELTER,Carters Lake
272303,NORTHBANK DAY USE AREA SHELTER,Carters Lake
272304,DAMSITE DAY USE AREA SHELTER,Carters Lake
272305,DOLL MOUNTAIN DAY USE AREA SHELTER,Carters Lake
273352,LAKE RABUN BEACH RECREATION AREA,Recreation - Chattahoochee-Oconee National Forest
273359,CLARK'S BAY DAY USE AREA,Hauser Lake
273781,LAKE RUSSELL RECREATION AREA,Recreation - Chattahoochee-Oconee National Forest
273846,TURKEY FLAT OHV STAGING AREA,Los Padres National Forest
234447,ARID PEAK LOOKOUT,Idaho Panhandle National Forests
233417,ARLIE MOORE,Degray Lake
232432,MATHEWS ARM CAMPGROUND,Shenandoah National Park
233015,TOWERS ARM CABIN,Tongass National Forest
251452,NORTH ARM (TIMOTHY LAKE) CAMPGROUND,Mt. Hood National Forest
232843,ARMSTRONG,Mt. Hood National Forest
231979,BROKEN ARROW CAMPGROUND,Umpqua National Forest
233240,DOUBLE ARROW LOOKOUT,Lolo National Forest
233418,ARROW ROCK,Melvern Lake
233910,ARROWHEAD CAMPGROUND,National Forests in North Carolina
231958,ARROYO SECO,Los Padres National Forest
232307,IRON SPRINGS GROUP ASHLEY,Ashley National Forest
233286,WEST ASHTABULA CROSSING,Ashtabula Lake
233419,EAST ASHTABULA CROSSING,Ashtabula Lake
118440,ASPEN GROVE CAMPGROUND,Uinta-Wasatch-Cache National Forest
231849,ASPEN GLADE,Rio Grande National Forest
232190,ASPEN (AZ),Apache-Sitgreaves National Forest
232390,ASPEN GROVE,Uinta-Wasatch-Cache National Forest
232780,ASPEN HOLLOW GROUP,Sequoia National Forest
232827,QUAKING ASPEN,Sequoia National Forest
233007,ASPEN FLATS CABIN,Chugach National Forest
233101,ASPEN GROUP (INYO),Inyo National Forest
233707,ASPEN POINT,Fremont-Winema National Forest
233710,ASPEN (CO),PSICC
233792,ASPEN (UT),Ashley National Forest
233933,QUAKING ASPEN CABIN,Sequoia National Forest
234183,ASPEN CABIN,Fremont-Winema National Forest
234664,ASPEN LEAF,Grand Mesa Uncompahgre and Gunnison National Forest
233187,ASPENGLEN CAMPGROUND,Rocky Mountain National Park
232507,ASSATEAGUE ISLAND NATIONAL SEASHORE CAMPGROUND,Assateague Island National Seashore
251770,W. Kerr Scott Visitor Assistance Center Conference Room,W. Kerr Scott Dam & Reservoir
232797,Atkisson Group camp,Gifford Pinchot National Forest
234134,ATLANTA CABIN,Boise National Forest
233148,ROSEBUD ATV,Fishlake National Forest
232698,SAN AUGUSTINE,Sam Rayburn Reservoir
251356,AUK VILLAGE CAMPGROUND,Tongass National Forest
232516,AUNTS CREEK,Table Rock Lake
234130,AUSABLE RIVER CAMPING,Huron-Manistee National Forests
233172,AuTrain Lake Campground,Hiawatha National Forest
233368,AVERY CREEK CABIN,Idaho Panhandle National Forests
233793,AVINTAQUIN CAMPGROUND,Ashley National Forest
232518,AVONDALE,Old Hickory Lake
233042,AVOSS LAKE CABIN,Tongass National Forest
251354,Axolotl Cabin,Axolotl Lakes
233408,AXTEL,Rough River Lake
232142,CLEAR CREEK GROUP (AZ),Coconino National Forest Recreation
232200,RAINBOW (AZ),Apache-Sitgreaves National Forest
232203,SPILLWAY (AZ),Apache-Sitgreaves National Forest
233888,CRESCENT MOON RANCH (AZ),Coconino National Forest Recreation
234563,PONDEROSA (AZ),Tonto National Forest
249291,Schoolhouse Campground (AZ),Tonto National Forest
234491,PINE FLAT PICNIC SITES - A and B,Cibola National Forest and Grasslands
234496,DOC LONG PICNIC SITES - A and B,Cibola National Forest and Grasslands
232160,MOLLIE B_WHITE RIVER,White River National Forest
232017,BABY DOE,PSICC
251757,BACKBONE ROCK CAMPGROUND,Cherokee National Forest
232499,SANTA CRUZ DEL NORTE BACKCOUNTRY,Channel Islands National Park
234526,SYLVANIA WILDERNESS BACKCOUNTRY CAMPING,Ottawa National Forest
256367,Pictured Rocks National Lakeshore Backcountry Camping Permit,Pictured Rocks National Lakeshore
261700,SANTA ROSA ISLAND BACKCOUNTRY BEACH CAMPING,Channel Islands National Park
233352,BAD BEAR CAMPGROUND,Boise National Forest
232808,BADGER FLATS GROUP,Sierra National Forest
233911,BADIN LAKE CAMPGROUND,National Forests in North Carolina
233912,BADIN LAKE GROUP CAMP,National Forests in North Carolina
10004657,Bay View House,Cape Cod National Seashore
231932,STRAWBERRY BAY,Uinta-Wasatch-Cache National Forest
232002,Little Bay de Noc,Hiawatha National Forest
232127,WILLOW BAY,Allegheny National Forest
232199,LUBY BAY,Idaho Panhandle National Forests
232201,REEDER BAY,Idaho Panhandle National Forests
232220,HEATON BAY,White River National Forest
232259,HOLLY BAY,Daniel Boone National Forest
232672,PINEY BAY,Dardanelle Lake
232704,SHOAL BAY,Dardanelle Lake
232714,SUNLIGHT BAY,Nimrod Lake
232762,HIRZ BAY,SHASTA-TRINITY NATIONAL FOREST
232787,BLUE BAY,Deschutes National Forest
232876,MEEKS BAY,Lake Tahoe Basin Management Unit
232927,PYBUS BAY CABIN,Tongass National Forest
232947,BERNERS BAY CABIN,Tongass National Forest
232953,HELM BAY CABIN,Tongass National Forest
232959,PHOCENA BAY CABIN,Tongass National Forest
232963,DOUBLE BAY CABIN,Chugach National Forest
232973,LOG JAM BAY CABIN,Chugach National Forest
232974,SAN JUAN BAY CABIN,Chugach National Forest
232975,JACK BAY CABIN,Chugach National Forest
232983,SHELTER BAY CABIN,Chugach National Forest
232989,PIGOT BAY CABIN,Chugach National Forest
232995,PAULSON BAY CABIN,Chugach National Forest
232997,KADAKE BAY CABIN,Tongass National Forest
232998,GOOSE BAY CABIN,Chugach National Forest
233011,BIG JOHN BAY CABIN,Tongass National Forest
233019,KAH SHEETS BAY CABIN,Tongass National Forest
233030,PORTAGE BAY CABIN,Tongass National Forest
233046,SEVENFATHOM BAY CABIN,Tongass National Forest
233052,KANGA BAY CABIN,Tongass National Forest
233059,RED BAY LAKE CABIN,Tongass National Forest
233060,SALMON BAY LAKE CABIN,Tongass National Forest
233061,SALMON LAKE CABIN THORNE BAY,Tongass National Forest
233063,SHIPLEY BAY CABIN,Tongass National Forest
233078,STEAMER BAY CABIN,Tongass National Forest
233079,BERG BAY CABIN,Tongass National Forest
233080,FROSTY BAY CABIN,Tongass National Forest
233134,SOUTH PIKE BAY,Chippewa National Forest
233173,BAY FURNACE CAMPGROUND,Hiawatha National Forest
233270,MOKINS BAY CAMPGROUND,Idaho Panhandle National Forests
233581,PETTIT BAY,Tenkiller Ferry Lake
233668,WASHUNGA BAY,Kaw Lake
233706,RAINBOW BAY,Fremont-Winema National Forest
233831,WHITEHALL BAY,Fall River Lake
233880,CUTTHROAT BAY GROUP,Arapaho & Roosevelt National Forests Pawnee NG
